ID_A,ID_B,Flag,Name_A,Name_B,Zipcode_A,Zipcode_B,Address_A,Address_B
4066,2165,,Spindletop,Fairbanks Ranch Country Club,77002,92067,1200 Louisiana St,15150 San Dieguito Rd
1261,4197,,Tam's Cuisine of China,District 7 Pizzeria,94044,77003,494 Manor Plz,2117 Chenevert St
4906,341,,Rock Bottom In Naples,Amm Tech Solutions,34108,,871 Vanderbilt Beach Rd,Serving Sunnyvale and the Surrounding Area
3930,4561,,Grind and Grape,Dr. Tattoff,32963,30326,925 Bougainvillea Ln,3637 Peachtree Rd
9641,2810,,Oliver's Pizza & Pub,Ise Japanese Restaurant,61616,10005,1231 E Samuel Ave,56 Pine St
11607,1546,,Thai Express,Walmart Distribution Center,20878,89434,351 Kentlands Blvd,2155 USA Pkwy
660,954,,Millie Ko,Best Of Burma,94061,94401,38 Woodside Plz,146 E 3rd Ave
5822,2963,,California Pizza Kitchen,Copper Face Jacks,63117,10601,1493 Saint Louis Galleria,166 Mamaroneck Ave
720,3473,,Prima Deli,Red Window Coffee,94061,90210,2115 Roosevelt Ave,Studio City
1861,5540,,Cafe Venezia,The Mind Body Whisperer,90067,19807,10250 Santa Monica Blvd,230 Presidential Dr
811,2015,,Angelicas,The Peninsula Beverly Hills,94063,90212,863 Main St,9882 S Santa Monica Blvd
10973,1946,,Gino's Pizza,SUGARED + BRONZED,25801,90212,1334 Harper Rd,9873 S Santa Monica Blvd
7897,2903,,Cafe Muse By Mosaic Foods,Taj Palace,58102,10601,704 1st Ave N,95 S Broadway
2019,5461,,Fresco Trattoria,Oddity Bar,92009,19805,3263 Camino De Los Coches,500 Greenhill Ave
7995,3391,,Good Luck Chicken & Seafood,Chicago Locksmiths,75215,,2642 Malcolm X Blvd,Serving Chicago and the Surrounding Area
4569,3347,,Delight,Sixty Five Chinese Restaurant,30326,60606,3393 Peachtree Rd NE Ste 1005,201 W Madison St
3074,3290,,McCarty's,Lyric Opera of Chicago,33480,60606,50 Cocoanut Row,20 N Wacker Dr
10069,2264,,Pie Five Pizza Co,Webb Ranch Farmers Market,67207,94028,"2755 New Maze rd, Wichita KS, 67207",2720 Alpine Rd
4449,2998,,Zodiac Restaurant,Prima Deli & Catering,30326,10603,3393 Peachtree Rd NE,31 Lake St
1422,5828,,Shiok Singapore Kitchen,World Cup Gymnastics,94025,10514,1137 Chestnut St,170 Hunts Ln
8448,3350,,Pappasito's Cantina,Potbelly Sandwich Shop,77069,60604,7050 Fm 1960 Rd W,175 W Jackson Blvd
2130,1840,,Flea Street Cafe,El Grullense II,94025,94063,3607 Alameda De Las Pulgas,2940 Middlefield Rd
5757,5837,,Haveli Indian Restaurant,Cosmetic Boutique,63132,10514,9720 Page Ave,18 S Greeley Ave
735,3689,,Bay Cafe Restaurant & Banquets,Jorquera Sarah,94303,10506,1875 Embarcadero Rd,460 Old Post Rd
4514,2130,,Corner Bakery Cafe,Concord Equestrian Center,30326,92014,3393 Peachtree Rd NE Ste 4033,14550 El Camino Real
7847,3727,,King House Buffet,Formula,58102,10506,122 Broadway N,136 Long Ridge Rd
4080,1188,,Luling City Market,The Love Institute,77027,94301,4726 Richmond Ave,705 Cowper St
5529,4060,,La Casa Pasta,2nd Street Bistro,19702,34950,120 Four Seasons Pkwy,122 N 2nd St
8688,1629,,August Moon Chinese Restaurant,Horizon Window Fashions,72390,,108 Garland Ave,Serving Reno and the Surrounding Area
2755,175,,Cassidy's Irish Pub & Restaurant,Taqueria La Veracruzana,10019,95050,65 W 55th St,1510 Jackson St
3085,3628,,The Colony,Wendy S Closet,33480,10506,155 Hammon Ave,621 Old Post Rd
11276,946,,Space Aliens Grill & Bar,NB Beauty,58503,94401,1304 E Century Ave,405 N San Mateo Dr
5442,1011,,Magic Wok Restaurant,Revelry Indoor Cycling & Fitness,6840,94401,73 Elm St,10 E 3rd Ave
6002,4366,,Miyabi Asian Bistro,NorthPark Center,10570,75225,25 Wheeler Ave,8687 N Central Expy
642,344,,Tapioca Express,Aris Helicopters,94403,94035,2986 S Norfolk St,"Moffett Field, CA 94035"
11671,4021,,Cava Grill,Brain Freeze,20878,32960,213 Kentlands Blvd,2217 8th Ave
5278,5855,,Dave's Goldmine Mexican Grill,Luther Electric corp,11743,10514,"233-B  Broadway Greenlawn, Huntington NY, 11743",Serving Chappaqua and the Surrounding Area
11762,5195,,Brock Convenience Station,Lily And Max Pet Boutique,63555,11724,RR 2 Box 138,147 Main St
2768,4622,,China Chalet,Brickwell Cycling & Multisports,10004,11030,90 Broad St,1463 Northern Blvd
7514,1421,,Perkins Restaurant & Bakery,Bagel Street Cafe,15533,94025,167 Post House Rd,746 Santa Cruz Ave
3788,3082,,Subway,Darbster Bistro,78257,33405,23535 W Interstate 10,8020 S Dixie Hwy
2478,5015,,Beachcomber Cafe,Palm Court,92657,60611,15 Crystal Cv,140 E Walton Pl
9434,2939,,Double B Bar-B-Que,Gyu-Kaku Japanese BBQ,76266,10601,2800 Fm 455 W,169 Main St
4809,748,,Olive Garden Italian Restaurant,Starbucks,,94061,,820 Woodside Rd
10733,1098,,Legends,Amber Dhara,76424,94301,3319 W Walker St,150 University Ave
2509,2539,,Modo Mio Restaurant Cucina Restica,SUGARED + BRONZED,92657,90212,7946 E Coast Hwy,9873 S Santa Monica Blvd
4752,5265,,Kasumi Sushi,Cold Spring Harbor Laboratory,11021,11724,25 Cuttermill Rd Ste 5,"Cold Spring Harbor, NY 11724"
7109,5696,,Taco Bell,Shaw Park,73018,63117,1782 S 4th St,Clayton
10188,4801,,El Paso,Fuji Sushi Bar & Asian Bistro,56375,34109,200 2nd St NE,6355 Naples Blvd
10309,4305,,Casey's Carryout Pizza,Chiladas,56340,75225,421 4th St,4448 Lovers Ln
10034,2678,,Applebee's,Marque Urgent Care,67114,92660,601 N Manchester Ave,2075 San Joaquin Hills Rd
4999,4144,,Itto Sushi,Weights + Measures,60614,77004,2616 N Halsted St,2808 Caroline St
711,646,,Rack and Roll BBQ Shaq,Great American Grill,94061,94404,20 Woodside Plz,2000 Bridgepointe Cir
8880,5999,,Mi Tierra Restaurant,Meatheads,18976,60045,111 Easton Rd,955 Rockland Rd
1700,2992,,Applewood,Joint Effort Chiropractic,94025,10604,989 El Camino Real,222 Westchester Ave
2697,2219,,Cassidy's Irish Pub & Restaurant,Amigos Grill Cocina Mexicana Y Cantina,10019,94028,65 W 55th St,3130 Alpine Rd
11730,275,,Main Street Cafe,Gulzaar Halal,63555,95128,131 S Main St,1880 W San Carlos St
4648,5106,,Pearl East,Cold Spring Harbor Library,11030,11724,1191 Northern Blvd,95 Harbor Rd
9624,4985,,Lariat Steakhouse & Grill,Signature Lounge,61614,60611,2232 W Glen Ave,875 N Michigan Ave
7755,667,,Tiny's Restaurant,Great Clips,1432,94404,2 Groton School Rd,929 E Hillsdale Blvd
2072,4202,,Lourdes Mexican Food,The Grove,92007,77010,2113 San Elijo Ave,1611 Lamar St
11459,348,,Vitek's Bar B Q Inc,"NEX II, Home and Garden Center",76710,94035,3428 Franklin Ave,Edquiba Rd
1002,2711,,Bella Mangiata Caffe,The Place,94401,92625,233 Baldwin Ave,2920 E Coast Hwy
8064,1082,,Kendrick's Barbeque,Stript Wax Bar,75215,94301,1221 Pennsylvania Ave,524 Bryant St
9312,2146,,Pellegrino's Italian Restaurant,Floral Palette,76258,92067,212 S Washington St,16079 San Dieguito Rd
10751,2256,,A M Donut & Croissants,Portola Valley Hardware,79504,94028,425 Interstate 20 E,112 Portola Rd
8913,724,,Perkins Restaurant & Bakery,Broadway Masala,54868,94063,2023 Cenex Dr,2397 Broadway St
7094,773,,Simple Simon's Pizza,Savvy Bike,73092,94061,512 E Highway 62,61 Nueva Ave
1443,5945,,Koma Sushi Restaurant,Martin Stankiewicz Gallery,94025,10514,211 El Camino Real,142 King St
3616,594,,Friendly's,California Windsurfing,10549,94404,259 E Main St,Serving Foster City and the Surrounding Area
9284,2189,,Olde Towne Bar & Grille,Lomas Santa Fe Executive Golf Course,61734,,410 Locust St,1580 Sun Valley Road
7291,3039,,Cousin Larry's Cafe,Martine Gourmet Deli,6810,10601,1 Elm St,168 Martine Ave
410,550,,El Mezquite Taqueria,Peninsula BJJ Brazilian Jiu-Jitsu,95050,94404,2323 The Alameda,1175 Chess Dr
2383,5103,,The Fish House,Harbor Mist,90210,11724,206 N Rodeo Dr,105 Harbor Rd
1396,4705,,Outback Steakhouse,Finger Nail,94403,11030,66 31st Ave,519 Plandome Rd
8273,5790,,Sakura,Serenity Spa,27288,10514,640 S Van Buren Rd,20 King St
2407,3955,,Panini Cafe,Di Mare Vero Beach,90210,32963,9601 Santa Monica Blvd,1517 Ocean Dr
10940,5481,,Gino's Pizza,Kozy Korner Restaurant,25801,19805,1334 Harper Rd,906 N Union St
11547,191,,Lone Star Steakhouse,Ilbunjee #1,20878,95050,808 W Diamond Ave,2325 El Camino Real
5314,6079,,The Clubhouse Steakhouse,Lake Forest Health & Fitness Center,11743,60045,320 W Jericho Tpke,1200 N Westmoreland Rd
6218,4254,,Love's Yogurt & Salads,Project Pie,60035,75225,585 Elm Pl,6030 Luther Ln
7487,4099,,Wing Street,Reef,15533,77006,16476 Lincoln Hwy,2600 Travis St
9204,3655,,Lin's Buffet,Coldwell Banker Residential Brokerage,61550,10506,"756 W Jackson St, Morton IL, 61550",Village Grn
3250,4986,,Kinzie Chophouse,JIMMY,60654,60611,400 N Wells St,610 N Rush St
1961,1306,,Blue Fin Sushi Bar,Espresso Bar,92024,94497,257 N El Camino Real Suite D & E,"130 Hillsdale Shopping Center,"
2644,3950,,Bella Luna Cafe,Big Apple Pizza,92661,34981,707 E Oceanfront,2311 S 35th St
11223,532,,China Wok,Chatime,27510,94404,104 Nc 54 Ste C,969A Edgewater Blvd
3301,2093,,Halsted Street Deli,Studio Felando,60606,92067,133 N Wells St,6012 Paseo Delicias
2525,2712,,Neapolitan,Makeup and Eyebrows by Kerry,92657,92625,6 Celano Ct,2600 E Coast Hwy
7052,5683,,Serapio's Mexican Restaurant,Nadoz Bakery Cafe,73036,63117,1637 E US Highway 66,12 the Blvd
4733,3726,,Krungtep Thai Bistro,Industrial Chemical Div of Leo Silfen,11021,10506,23 S Middle Neck Rd,136 Long Ridge Rd
3501,1054,,Bedford Village Pastry,The Stanford Theatre,10506,94301,426 Old Post Rd,221 University Ave
9990,5908,,Oklahoma Boy's BBQ,First Professional Dry Cleaners,,10514,,16 Bedford Rd
5033,3622,,Carmine's,Long Term Care Insurance,60611,10506,1043 N Rush St,14 East Way
8239,27,,Hardee's,Coffee & More,27320,94086,1702 Freeway Dr,100 S Murphy Ave
9242,4981,,Subway,Osteria Via Stato,61568,60654,600 W Pearl St,620 N State St
3086,676,,Polo Steakhouse,Automotive Buying Specialist,33480,94404,155 Hammon Ave,734 Niantic Dr
5814,3465,,Grassi's Deli and Ristorante,University of California Los Angeles - UCLA,63131,90095,10450 German Blvd,405 Hilgard Ave
11057,2457,,Perseco,The Nosh Of Beverly Hills,25801,90210,4072 Robert C Byrd Dr,9689 Santa Monica Blvd
934,4162,,Round Table Pizza,Treebeards,94401,77002,430 S Norfolk St,711 Louisiana St
456,2857,,Bodrum Cafe,Yip Yick Ming Inc,94041,10004,383 Castro St,18 Beaver St
9014,4289,,Straight 8 Bar,Pho Kitchen,54001,75225,594 US Highway 8,8687 N Central Expressway
302,1567,,Giorgio's Italian Food & Pizzeria,Reno iPhone & iPod Repair,95118,89434,1445 Foxworthy Ave,Serving Reno and the Surrounding Area
11796,1001,,El Charro,Bay Area iPhone Repair,65775,,1409 Mitchell Rd,Serving San Mateo and the Surrounding Area
3388,4360,,Round Table Pizza,Kostas Cafe,,75206,,4914 Greenville Ave
2785,6037,,Joseph's Restaurant,Jos A Bank,10004,60045,3 Hanover Sq,240 E Deerpath Rd
11438,1776,,Chuck E. Cheese's,"Fong Remington, MD",76710,94025,5106 W Waco Dr,1300 Crane St
3555,3560,,The Willows Restaurant,ShopHouse,10590,90024,920 Oakridge Cmns,1059 Broxton Ave
6384,5173,,Uncle Bill's Pancake And Dinner House,Eckhoff Adelaide,63139,11724,3427 S Kingshighway Blvd,75 Main St
2944,3437,,Graziella's Restaurant,In-N-Out Burger,10601,90024,95 S Broadway,922 Gayley Ave
10956,3877,,Sam's Hotdog Stand,Hobby Lobby,25801,78257,2046 Harper Rd,17903 La Cantera Pkwy
6222,378,,Ruby of Siam,Legacy Property Group,60035,,1849 2nd St,Serving Mountain View and the Surrounding Area
710,1807,,Sushi Plus,James Steele - Alain Pinel Realtors,94061,94025,30 Woodside Plz,Serving Menlo Park and the Surrounding Area
4273,5005,,Wang's Chinese Cafe,Glazed & Infused,75225,60611,6033 Luther Ln,30 E Hubbard St
10157,4075,,Pizza Corner Frozen Pizza,Sea Jasmine Thai Cuisine,56302,32958,PO Box 369,971 Sebastian Blvd
767,4124,,De Carlos Place,District 7 Grill,94061,77003,2139 Roosevelt Ave,1508 Hutchins St
9883,3466,,Lorie's Wildridge Restaurant,Franklin Canyon Park,16506,90210,5901 W Ridge Rd,2600 Franklin Canyon Dr
6190,2126,,Khayat Lake House,28 West,60044,92091,525 Rockland Rd,5690 Cancha de Golf
10643,270,,Jt's BBQ,Nasseri Auto Tech,73566,95050,1215 E St,Serving Santa Clara and the Surrounding Area
4070,5261,,Sake Lounge,Primo TV Installation/ Primo Home Automation,77002,,550 Texas St,Serving Manhattan and the Surrounding Area
6242,2088,,Ben Lee's Cafe,Orphaned Objects,56172,92067,2630 Broadway Ave,6525 Helen Woodward Way
1259,3710,,Iron Gate Restaurant,"William L Hines, Electrical Contractor",94002,10506,1360 El Camino Real,444 Old Post Rd
3419,5391,,EMC Seafood & Raw Bar,Albano Appliance & Service LLC,90020,10576,3500 W 6th St #101,83 Westchester Ave
11092,1566,,Amedeos Italian Restaurant,"D & S Tow, Inc",27606,89434,3905 Western Blvd,Serving Sparks and the Surrounding Area
5991,2116,,Ossobuco Restaurant,Rancho Santa Fe Estate and Fine Jewelers,10549,92091,213 E Main St,6024 Paseo Delicias
11158,1887,,Sandwich,Vampire Lounge & Tasting Room,27516,90212,407 W Franklin St,9865 S Santa Monica Blvd
8216,1182,,El Caporal Mexican Grill,Yogurtland,27320,94301,104 Turner Dr,494 University Ave
11191,4146,,Quinn's,Piola,27516,77006,100 Westgreen Dr,3201 Louisiana St
6260,4148,,Genadori's Pizza,Baoz Dumpling,56151,77002,650 College Ave,1001 Fannin St
6262,2461,,Leota Cafe,Il Cielo,56153,90211,11768 110th St,9018 Burton Way
8355,3492,,Luling City Market,DesignBySig,77027,91403,4726 Richmond Ave,15228 Hartsook St
4728,5732,,Matteo's of Roslyn,Nachomamas Tex-Mex,11576,63105,88 Mineola Ave,9643 Manchester Rd
9639,2380,,Other Dawg,Cubberley Cafe,61616,94305,4408 N Prospect Rd,485 Lasuen Mall
9736,5437,,Phillips Avenue Diner,JoyRide Cycling Studio,57104,6877,121 S Phillips Ave,62 Danbury Rd
1135,3225,,Lulu's Mexican Food,Allora,94301,33407,855 El Camino Real,402 Northwood Rd
4827,3900,,Lulu B's Grill,Ulta,34108,78257,8795 Tamiami Trl N,17414 La Cantera Pkwy
716,4239,,Chevys Fresh Mex,Julia Ideson Building,94061,77002,2907 El Camino Real,500 McKinney St
7857,3991,,Dakota Slim Food's,Manatee Island Bar and Grill,58103,34949,1919 19th St S,1640 Seaway Dr
10850,1631,,Tommy's Rainy Lake Saloon,Overhead Door Co. of Sierra Nevada-Reno Inc.,55792,,407 Chestnut St,Serving Reno and the Surrounding Area
7847,1004,,King House Buffet,Burlingame Independent,58102,94402,122 Broadway N,850 S Amphlett Blvd
4873,3489,,Marchese Anthony Ten Best Restaurants.Com,Miele Appliance Repair LA,34108,90210,476 Pine Ave,Serving Los Angeles and the Surrounding Area
5428,4213,,La Familia Katonah,The Continental Club,10536,77002,280 Katonah Ave,3700 Main St
7312,2705,,Lago Cucini Italiana,Savory Spice Shop,6811,92660,45 Hayestown Rd,928 Avocado Ave
7461,1073,,Rey Azteca,The Chocolate Garage,15904,94301,736 Scalp Ave,654 Gilman St
7602,4713,,Bertucci's,Louis Vuitton,1752,11030,SOLOMON Pond Mall,2120 Northern Blvd
8351,6041,,Barry's Pizza,Lake Forest Sports Cars,77057,60044,6003 Richmond Ave,990 N Shore Dr
5765,1310,,Uncle Bill's Pancake And Dinner House,Carlmont Ace Hardware,63139,94002,3427 S Kingshighway Blvd,1029 Alameda de las Pulgas
3460,4013,,The Cheesecake Factory,The Twisted Pickle,91403,32960,15301 Ventura Blvd,8180 US Hwy 1
8864,2489,,Premier Pizza,Caffe Roma,18974,90210,297 Countryside Ct,350 N Canon Dr
6768,6050,,High Plains Camping,The Salon Ltd,67748,60045,462 US Highway 83,588 N Western Ave
7235,718,,Dragon Cheng,Lockworks Unlimited,6810,94061,132 West St,Serving Redwood City and the Surrounding Area
650,1776,,Lucias,"Fong Remington, MD",94061,94025,1725 Woodside Rd,1300 Crane St
2713,1483,,Harry's Cafe & Steak,Dolly and Shyama Threading Salon,10004,94025,1 Hanover Sq,1155 Chestnut St
10662,5475,,Mel's Diner,8th & Union Kitchen,73566,19805,801 13th St,801 N Union St
329,138,,House of Egg Roll,Sweet Tomatoes,95050,94086,1686 Lafayette St,1210 Kifer Rd.
7698,2623,,Dario's Brick Oven Ristorante,Sweet Skin Studio Corona Del Mar,1462,92625,310 Massachusetts Ave,436 Heliotrope Ave
6753,3826,,Aiimans Bar-B-Que,The Lion & Rose,22401,78541,2022 Plank Rd,17627 La Cantara Pkwy
5030,993,,The Cheesecake Factory,"Chrystle Cu, DDS",60611,94401,875 N Michigan Ave,"126 2nd Ave, Ste 102"
1390,5941,,Lahmacun Pizzeria Medtrranean,Prescriptions For Fitness,94403,10514,35 Laurie Meadows Dr,255 King St
9675,801,,Hot Stuff,Five Points Tire Imports,57104,94063,3700 N Potsdam Ave,2115 El Camino Real
7796,3383,,Great Wall Chinese Restaurant,"Priya Setty, DDS",58103,60606,1617 University Dr S,223 W Jackson Blvd
9860,4542,,B W's Grill,Buckhead Club,16415,30326,6467 Sterrettania Rd,3344 Peachtree Rd NE
3808,3537,,General Public,Bel Air Presbyterian Church,78257,90049,17619 La Cantera Pkwy # 102,16221 Mulholland Dr
7219,4564,,Nick's Restaurant & Catering,DSW Designer Shoe Warehouse,6810,30326,4 Starr St,1 Buckhead Loop Northeast
8846,4790,,Taormina's Pizza & Panini,LongHorn Steakhouse,18954,34108,130 Almshouse Rd Ste 501,8010 Trail Blvd
5782,1140,,Pad Thai,Garden Court Hotel,63128,94301,12676 Lamplighter Square Shpg Ctr,520 Cowper St
2145,5533,,Cha Cha Cha,Fabrizio Salon & Spa,94117,19806,1801 Haight St,1604 W 16th St
10359,20,,Marvin's Place,The Sandwich Spot,71639,94086,529 W Choctaw St,121 S Francis St
4139,6056,,Thai Cuisine,Williams-Sonoma,77002,60045,914 Main St,271 Market Sq
7232,4692,,Della Francesca,Don Joe Auto Body,6810,11023,35 Lake Ave,247 East Shore Road
1483,2139,,Flea Street Cafe,PLUSH Sunless Tanning Service,94025,92067,3607 Alameda De Las Pulgas,"San Diego, CA 92067"
1624,2890,,Hayward Design Center,Clipper City - Manhattan by Sail,94025,10004,1158 Chestnut St,Slip 2 at Battery Park
10999,5439,,Iron Works Barbeque,Ridgefield Running Company,,6877,,88 Danbury Rd
1089,3248,,Round Table Pizza,Blackwood BBQ,94301,60606,263 University Ave,305 W Lake St
10094,3238,,Burger King,Fumare Meats & Deli,67114,60661,620 SE 36th St,131 N Clinton St
1767,2338,,Akasaka Sushi,Russo Cafe,94025,94305,925 El Camino Real,555 Salvatierra Walk
10046,704,,Gallaway's Restaurant,Men Haircuts by Lilian,67062,94061,4 Leonard Ct,593 Woodside Rd
7364,3186,,J B's Roadhouse,Mellow Mushroom,15501,33401,1830 N Center Ave,700 S Rosemary Ave
9039,2992,,Brunetti's Express Restaurant,Joint Effort Chiropractic,23116,10604,9167 Atlee Rd,222 Westchester Ave
788,1625,,Little India Restaurant,Preferred Auto Care,94063,,917 Main St,Serving Sparks and the Surrounding Area
5685,2150,,Lombardo's Trattoria,Lomas Santa Fe Country Club,,92075,,1505 Lomas Santa Fe Drive
7976,873,,Dallas Tortilla & Tamale Factory,31st Union,75203,94401,309 N Marsalis Ave,5 S Ellsworth St
5010,55,,Las Islas Marias,Falafel Bite,60639,94085,4770 W Grand Ave,500 Lawrence Expy
5886,4024,,Lobo's Cafe,Tiki Bar & Grill,10514,32958,59 King St,1130 Indian River Dr
6018,3417,,Azteca Restaurant,Bruin Plate,10549,90077,125 E Main St Ste 2,"Westwood, UCLA"
8180,5856,,Super Buffet,US Post Office,27320,10514,1537 Freeway Dr Ste 506,107 N Greeley Ave
11052,4129,,Felton Co,"CoCo Crepes, Waffles & Coffee - Midtown",25801,77002,1104 N Eisenhower Dr,218 Gray St
3490,4518,,Peet's Coffee & Tea,Shux,10506,30305,422 Old Post Rd,3330 Piedmont Rd NE
11475,1424,,Logan's Roadhouse,El Grullense,76711,94063,2806 W Loop 340,795 5th Ave
8474,4466,,Crawfish Inn,Sushi Bar Yu-ka,77044,30305,8237 C E King Pkwy,3330 Piedmont Rd NE
9536,1475,,River 1000,Namesake Cheesecake,61611,94025,1000 Riverside Dr,425 El Camino Real
11628,572,,Pho Bistro Vietnamese Noodles,Akisu Sushi Bar & Grill,20878,94404,239 Muddy Branch Rd,1457 Beach Park Blvd
1912,5442,,Carmines II,Purebread Deli,90025,19807,10463 Santa Monica Blvd,4001 Kennett Pike
1,339,,Tao Tao Restaurant,El Camino Mongolian BBQ,94086,95051,175 S Murphy Ave,3380 El Camino Real
9194,1218,,Woody's Groveland Family Restaurant6am,Gin Mon Restaurant,61535,94002,18706 Springfield Rd,1079 Alameda de Las Pulgas
2865,5876,,Olive Garden Italian Restaurant,Serge Dore Selections,,10514,,59 S Greeley Ave
31,956,,Denny's,Crawfish Fusion,94085,94401,814 W Ahwanee Ave,401 E 3rd Ave
8330,695,,Harris Drive Inn,Connoisseur Coffee Company,77026,94063,5517 Caplin St,2801 Middlefield Rd
5691,534,,John P Fields Restaurant,"Elina Brusilovsky, CPA",63105,94404,26 N Central Ave,950 Tower Ln
2637,2828,,Siena Restaurant & Bar,Haru Sushi,92661,10005,105 Main St,1 Wall St Ct
